Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Output of Fiber Crops(10000 tons),143.59,157.65,123.94,124.8,178.8,444.77,192.67,208.36,180.92,112.43,109.73,88.45,93.83,96,74.73,89.7,79.5,74.87,49.5,47.17,52.95,68.14,96.37,85.3,107.36,110.49,89.09,66.12,56.09,31.91,24.23,22.34,19.62,17.56,16.51,15.56,18.13,21.79,20.31
Output of Jute and Ambary Hemp(10000 tons),109.84,126.01,106.03,101.94,149.24,411.88,142,113.75,107.76,66.02,72.61,51.3,61.89,67.16,35.49,37.12,36.49,42.95,24.8,16.45,12.59,10.6,15.9,9.98,8.69,8.28,8.68,9.64,8.02,7.13,6.48,7.02,6.35,5.73,5.06,4.78,3.39,2.91,2.86
Output of Flax(10000 tons),18.28,19,6.08,13.43,19.17,15.85,20.83,32.01,36.9,24.28,24.16,28.89,22.62,18.77,25.03,35.24,26.54,15.38,10.02,16.96,21.44,34.52,52.43,46.47,66.92,69.46,42.51,26.15,25.47,8.37,3.78,3.1,3.39,2.09,1.02,1.1,1.23,1.08,1.3
Output of Hemp(10000 tons),7.55,4.97,3.63,2.89,3.31,5.49,5.5,4.43,3.57,2.63,3.15,1.8,2.44,2.73,2.2,2.24,2.06,1.92,1.69,1.32,1.7,2.02,3.01,2.63,3.59,4.13,8.29,4.69,2.97,1.15,1,1.34,1.4,1.8,3.14,2.6,7.16,12.47,10.62
Output of Ramee(10000 tons),3.76,4.91,5.87,4.43,5,8.17,22.65,56.75,31.81,18.45,8.91,5.82,6.12,6.76,11.64,14.71,14.06,13.66,12.23,11.95,16.1,19.7,23.85,24.49,25.48,27.71,28.74,24.01,18.84,14.65,12.21,9.71,7.67,6.77,6.3,5.83,5.22,5.08,5.39
Output of Sugarcane(10000 tons),2280.74,2966.81,3688.24,3114.14,3951.93,5154.91,5021.91,4736.35,4906.43,4879.47,5762.01,6789.8,7301.07,6419.38,6092.68,6541.74,6818.7,7889.68,8343.81,7470.27,6827.98,7566.27,9010.69,9023.48,8984.94,8663.8,9709.22,11179.44,12152.06,11200.37,10598.23,10867.35,11574.61,11926.35,11578.82,10706.43,10321.54,10440.43,10809.71
Output of Beetroots(10000 tons),630.53,636.03,671.15,918.16,828.42,891.86,830.6,814.02,1281.04,924.33,1452.45,1628.94,1506.91,1204.82,1252.56,1398.4,1541.55,1496.79,1446.61,863.86,807.35,1088.86,1281.99,618.17,585.71,788.11,750.75,902.91,853.9,546.53,705.12,795.76,877.2,628.66,509.91,508.79,854.49,938.41,1127.66
Output of Tobacco(10000 tons),84.48,149.72,217.93,138.06,178.94,242.48,170.71,194.25,273.37,283.04,262.71,303.12,349.86,345.15,223.8,231.42,323.4,425.12,236.4,246.93,255.23,234.96,244.65,225.74,240.6,268.3,245.56,242.22,275.94,296.2,283.2,299.78,324.6,321.95,284.67,267.73,257.39,239.14,224.1
Output of Flue-cured Tobacco(10000 tons),71.67,127.87,184.78,115.08,154.28,207.5,137.44,163.61,233.74,240.48,225.89,267.03,311.89,303.6,194.05,207.22,294.57,390.79,208.85,218.51,223.8,204.52,213.52,201.48,216.27,243.5,225.5,224.94,258.2,275.05,261.19,278.58,302.31,304.02,269.68,249.52,244.5,227.87,210.97
Output of Pork(10000 tons),1134.07,1188.43,1271.85,1316.14,1444.75,1654.7,1796,1834.9,2017.6,2122.8,2281.1,2452.3,2635.3,2854.4,3204.83,3648.37,3158,3596.3,3883.7,4005.6,3965.99,4051.7,4123.1,4238.6,4341,4555.33,4650.34,4307.85,4682.02,4932.85,5138.44,5131.65,5443.55,5618.6,5820.8,5645.41,5425.49,5451.8,5403.74
Output of Beef(10000 tons),26.87,24.84,26.56,31.48,37.28,46.7,58.9,79.2,95.8,107.2,125.6,153.5,180.3,233.6,327.02,415.36,355.7,440.9,479.9,505.4,513.12,508.6,521.9,542.5,560.4,568.1,590.33,626.22,617.68,626.18,629.07,610.71,614.75,613.09,615.72,616.89,616.91,634.62,644.06
Output of Mutton(10000 tons),44.48,47.61,52.39,54.47,58.58,59.32,62.2,71.9,80.2,96.2,106.8,118.2,125,137.3,160.89,201.52,181,212.8,234.6,251.3,264.13,271.8,283.5,308.7,332.9,350.06,367.73,385.68,393.24,399.43,406.02,397.96,404.5,409.9,427.63,439.93,460.25,471.07,475.07
Output of Milk(10000 tons),114.1,129.06,161.84,184.52,218.64,249.9,289.9,330.1,366,381.3,415.7,464.6,503.1,498.6,528.79,576.38,629.4,601.1,662.9,717.6,827.43,1025.5,1299.8,1746.3,2260.6,2753.37,2944.62,2947.09,3010.57,2995.13,3038.93,3109.93,3174.93,3000.82,3159.88,3179.83,3064.03,3038.62,3074.56
Output of Honey(10000 tons),9.63,11.04,13.6,14.33,14.75,15.5,17.2,20.4,19.5,18.9,19.3,20.6,17.8,17.5,17.68,17.77,18.3,21.1,20.7,23,24.6,25.2,26.5,28.9,29.32,29.32,33.37,37.97,38.47,39.67,38.19,41.18,43.84,43.66,46.3,47.32,55.53,54.25,44.69
"Output of Seawater Aquatic Products, Fish(10000 tons)",234.12,231.74,257.85,251.42,267.04,274.53,309.35,351.63,362.86,382.94,423.15,466.24,517.62,557.39,647.37,758.14,823.52,836.42,916.1,918.11,896.75,881.29,887.9,893.24,883.74,913.94,892.07,891.28,864.34,880.82,906.32,1075.19,957.3,972.85,1042.52,1078.02,1063.15,1115.78,1091.48
"Output of Seawater Aquatic Products, Shrimps, Prawns and Crabs(10000 tons)",42.05,41.8,46.94,49.09,59.38,70.62,76.87,83.97,103.3,105.72,107.05,119.36,127.39,138.66,170.89,184.83,204.65,195.81,224.33,240.46,257.91,262.76,269.75,259.01,271.39,281.3,299.38,298.94,288.76,303.59,310.44,321.85,345.69,362.57,382.95,386.28,396.09,370.71,368.24
"Output of Seawater Aquatic Products, Shellfish(10000 tons)",23.38,26.92,31.69,36.74,41.29,47.3,65.84,88.89,114.43,137.53,147.33,158.58,204.36,288.59,323.64,392.28,852.68,715,754.82,832.51,901.68,936.36,972.18,963.77,965.6,1008.14,1046.71,1068.2,1072.47,1120.02,1170.44,1212.77,1264.78,1327.56,1371.71,1413.98,1476.88,1481.42,1486.97
"Output of Seawater Aquatic Products, Algae(10000 tons)",26.16,22.77,22.84,24.49,26.66,27.3,23.31,23.67,25.11,30.01,27.52,40.03,56.82,69.39,74.52,74.91,92.91,85,90.33,103.66,106.08,108.52,115.81,122.73,130.76,133.94,137.65,138.84,142.26,148.41,156.6,162.91,179.04,188.48,202.89,211.5,219.32,224.78,236.22
"Output of Freshwater Aquatic Products, Fish(10000 tons)",116.33,128.98,147.9,175.83,216.79,276.48,336.38,393.8,440.85,472.76,504.93,530.38,598.42,710.59,859.34,1018.61,1177.8,1143.76,1230.56,1309.73,1358.38,1406.5,1476.79,1551.02,1634.44,1737.21,1822.47,1908.49,1998.46,2109.9,2225.64,2343.65,2235.91,2366.54,2470.67,2571.93,2653.77,2702.55,2691.36
"Output of Freshwater Aquatic Products, Shrimps, Prawns and Crabs(10000 tons)",5.16,5.13,5.65,5.62,5.19,5.54,6.21,8.05,8.47,9.54,9.46,10.72,12.4,13.33,20.29,27.3,36.28,41.26,52.18,61.03,76.25,87.02,105.68,119.92,132.41,140.28,167.81,202.07,210.06,228.83,248.13,248.84,268.69,277,288.74,300.16,316.11,320.79,369.67
"Output of Freshwater Aquatic Products, Shellfish(10000 tons)",2.5,3.24,2.65,2.63,2.98,3.39,5.61,5.33,5.9,7.29,7.58,8.53,10.5,16.29,15.27,20.52,48.4,31.41,39.56,37.09,39.99,45.41,49,46.74,46.15,46.29,50.92,50.5,50.09,51.96,53.8,53.88,53.96,52.8,51.45,51.63,52.53,46.67,40.78
